          FW          	CUT	SVN	Coex
rtl8761au8192ee_fw    	 D	13328	3736
rtl8761a_fw           	 D	13328	3736
rtl8761au_fw          	 D	19300	0004
rtl8761aw8192eu_fw    	 D	19300	0004
rtl8723ds_fw          	 C	18994	1010
rtl8822b_fw           	 C	19231	4242
rtl8821cs_fw          	 B	19186	1111
rtl8761at_fw          	 D	19300	0004
rtl8761au8812ae_fw    	 D	19300	0004
rtl8821as_fw          	 B	19292	635d
rtl8821a_fw           	 B	19292	635d
rtl8723bs_fw          	 B	19115	664a
rtl8723b_fw           	 B	19115	664a
rtl8821c_fw           	 B	19186	1111
rtl8822bs_fw          	 C	19231	4242
rtl8723d_fw           	 C	18994	1010
rtl8723bs_VQ0_fw      	 B	14422	5844
